Date	Diesel/Petrol	Pump Price
3/21/2005	Petrol	£82.70
3/28/2005	Diesel	£87.68
3/28/2005	Petrol	£83.40
4/4/2005	Diesel	£88.30
4/4/2005	Petrol	£83.91
4/11/2005	Diesel	£89.82
4/11/2005	Petrol	£85.61
4/18/2005	Diesel	£89.80
4/18/2005	Petrol	£85.63
4/25/2005	Diesel	£89.62
4/25/2005	Petrol	£85.51
5/2/2005	Diesel	£89.30
5/2/2005	Petrol	£85.44
5/9/2005	Diesel	£89.46
5/9/2005	Petrol	£85.36
5/16/2005	Diesel	£89.40
5/16/2005	Petrol	£85.27
5/23/2005	Diesel	£89.00
5/23/2005	Petrol	£84.77
5/30/2005	Diesel	£88.39
5/30/2005	Petrol	£84.18
6/6/2005	Diesel	£88.23
6/6/2005	Petrol	£84.01
6/13/2005	Diesel	£88.96
6/13/2005	Petrol	£84.99
6/20/2005	Diesel	£89.54
6/20/2005	Petrol	£85.52
6/27/2005	Diesel	£90.27
6/27/2005	Petrol	£86.73
7/4/2005	Diesel	£91.00
7/4/2005	Petrol	£87.49
7/11/2005	Diesel	£91.89
7/11/2005	Petrol	£87.73
7/18/2005	Diesel	£92.67
7/18/2005	Petrol	£88.55
7/25/2005	Diesel	£93.03
7/25/2005	Petrol	£89.00
8/1/2005	Diesel	£93.26
8/1/2005	Petrol	£89.25
8/8/2005	Diesel	£93.63
8/8/2005	Petrol	£89.67
8/15/2005	Diesel	£94.50
8/15/2005	Petrol	£90.56
8/22/2005	Diesel	£94.68
8/22/2005	Petrol	£90.77
8/29/2005	Diesel	£95.33
8/29/2005	Petrol	£91.42
9/5/2005	Diesel	£97.19
9/5/2005	Petrol	£94.37
9/12/2005	Diesel	£97.89
9/12/2005	Petrol	£95.07
9/19/2005	Diesel	£97.32
9/19/2005	Petrol	£94.41
9/26/2005	Diesel	£96.27
9/26/2005	Petrol	£93.33
10/3/2005	Diesel	£96.61
10/3/2005	Petrol	£93.51
10/10/2005	Diesel	£97.05
10/10/2005	Petrol	£94.25
10/17/2005	Diesel	£97.00
10/17/2005	Petrol	£94.14
10/24/2005	Diesel	£96.80
10/24/2005	Petrol	£93.47
10/31/2005	Diesel	£96.57
10/31/2005	Petrol	£92.79
11/7/2005	Diesel	£96.59
11/7/2005	Petrol	£92.47
11/14/2005	Diesel	£94.92
11/14/2005	Petrol	£90.53
11/21/2005	Diesel	£93.22
11/21/2005	Petrol	£88.61
11/28/2005	Diesel	£91.80
11/28/2005	Petrol	£87.35
12/5/2005	Diesel	£91.80
12/5/2005	Petrol	£87.35
12/12/2005	Diesel	£91.48
12/12/2005	Petrol	£87.20
12/19/2005	Diesel	£91.83
12/19/2005	Petrol	£87.56
12/26/2005	Diesel	£92.12
12/26/2005	Petrol	£87.88
1/2/2006	Diesel	£92.27
1/2/2006	Petrol	£88.03
1/9/2006	Diesel	£92.94
1/9/2006	Petrol	£88.56
1/16/2006	Diesel	£93.19
1/16/2006	Petrol	£89.01
1/23/2006	Diesel	£93.62
1/23/2006	Petrol	£89.55
1/30/2006	Diesel	£93.93
1/30/2006	Petrol	£89.88
2/6/2006	Diesel	£93.85
2/6/2006	Petrol	£89.73
2/13/2006	Diesel	£93.77
2/13/2006	Petrol	£89.65
2/20/2006	Diesel	£93.75
2/20/2006	Petrol	£89.60
2/27/2006	Diesel	£93.69
2/27/2006	Petrol	£89.51
3/6/2006	Diesel	£93.63
3/6/2006	Petrol	£89.37
3/13/2006	Diesel	£93.85
3/13/2006	Petrol	£89.55
3/20/2006	Diesel	£94.42
3/20/2006	Petrol	£90.19
